gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	svalue_shrink	log2FC_shrink	comparison	samples_i	samples_j	gene_name	is_signif_pos	is_signif_neg	is_signif_any
Anogam_AGAP011736	14.8025215208557	-1.72633184911829	1.33982968955389	-1.2884711113493	0.197582018723082	0.307268711966714	0.0483584992468877	-0.700898434688442	Bulk.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP029196	131.085474579085	-1.05314402537627	0.505837092563498	-2.08198260044378	0.0373440590474102	0.0795899056320505	0.00460069854250768	-0.891954541794458	Bulk.Fem-Mal	Fem	Mal		FALSE	FALSE	FALSE
Anogam_AGAP029197	6.36015427970283	1.86360550950838	2.02557556650789	0.920037514434106	0.357553155551581	0.485146306999753	0.082738134972237	0.380872598934301	Bulk.Fem-Mal	Fem	Mal		FALSE	FALSE	FALSE
Anogam_AGAP001084	1364.22469336284	0.692251091477164	0.971222849352592	0.712762361324811	0.475992820009772	0.81585025036541	0.237831022431485	0.085976574376219	Oecy.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP001343	18.0618527122805	-0.886636001775508	0.902760264057846	-0.982138932201268	0.32603140773034	0.704392709357845	0.208107440272028	-0.125985122203103	Oecy.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP002279	20.0350553009177	0.222628573159482	1.14980648282316	0.193622645623682	0.846471365097534	0.964460550764501	0.305542660070368	0.0203930943967446	Oecy.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP003606	27.2562751123872	1.02410315907088	1.06384862019493	0.962639927928118	0.335728252818656	0.711554991939419	0.222961819962254	0.10706072923149	Oecy.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP003611	13.4791266451059	-0.769154917929117	0.929922918277694	-0.827116853248079	0.408170832729376	0.76925518735076	0.224531938821414	-0.102588464351347	Oecy.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP004784	4559.11529952857	0.336201644052181	0.611129014538152	0.550132027860368	0.582228820577954	0.863919579790211	0.229613163173686	0.087354640936306	Oecy.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP004787	18008.2554070918	0.0274071859396207	0.795006124420346	0.0344741821449537	0.972499029770942	0.99373633016993	0.328227033914926	0.00240232145421322	Oecy.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP005515	4.50967697295087	-5.74805435109859	2.92957397126232	-1.96207858462841	0.0497533357923937	NA	0.270392499689493	-0.0509134846226122	Oecy.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP005984	11609.0999519627	0.0506157643719407	0.770626744527484	0.0656812973743549	0.947631562788579	0.989543230675893	0.319681523093629	0.00986644221258805	Oecy.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP005985	3734.08649234323	0.752318968089422	0.763056569708772	0.985928170930435	0.324168361793071	0.702483803646204	0.192295100890727	0.145694913003257	Oecy.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP005986	11317.4357843958	-0.0616990605355433	0.82061963284299	-0.0751859425076029	0.940066768948752	0.987215628567853	0.321453315193194	-0.00841239225803335	Oecy.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP009690	6.86904603523081	0.270215684098545	1.26907527027233	0.212923291808027	0.831386794693801	0.959742626793466	0.304798809975579	0.0206513387575892	Oecy.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase (Fragment)	FALSE	FALSE	FALSE
Anogam_AGAP010785	1.39276177273004	3.78355393925254	3.935679723343	0.961347011244795	0.33637771776496	NA	0.296838498145024	0.0250742044369077	Oecy.Fem-Mal	Fem	Mal	fatty acyl CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP010850	3.35448902681587	-5.32256356329906	3.33932855255415	-1.59390233082276	0.110957912313644	NA	0.282357768213624	-0.0373716858209541	Oecy.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase (Fragment)	FALSE	FALSE	FALSE
Anogam_AGAP011736	1.77230548689	-2.28657714219568	3.89734031743856	-0.586701944391267	0.557403901675071	NA	0.312332923085398	-0.016708595457176	Oecy.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP029196	209.062702238586	-1.34937717862615	0.590476124786721	-2.2852357986761	0.0222990051575103	0.163173088657727	0.0688604754289892	-0.678283392810615	Oecy.Fem-Mal	Fem	Mal		FALSE	FALSE	FALSE
Anogam_AGAP029197	3.04561492360346	2.02777252254146	2.87462607983965	0.705403926014119	0.480558901475582	NA	0.291309172375128	0.0286999298582552	Oecy.Fem-Mal	Fem	Mal		FALSE	FALSE	FALSE
