event	freq_diff	mean_logtpm	pval	pval.corr	comparison	group.i	group.j	mean_freq.i	mean_freq.j
Anogam_AGAP004917-RA	0	0.959898730206279	0.127617148554337	0.127733440642603	OeCa A	Oe	Ca	1	1
Anogam_AGAP004918-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP028439-RA	0	0.861927971778044	0.109172482552343	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004921-RA	0	1.96632668826934	0.0872382851445663	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004922-RA	0	2.06606982887399	0.0897308075772682	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004923-RA	0	0.309737644601191	0.0942173479561316	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004924-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004925-RA	0	2.0658285345	0.0907278165503489	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004928-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004933-RA	0	2.38143966581581	0.0952143569292124	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004934-RA	0	-0.173267992560374	0.101196410767697	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004937-RA	0	-0.163561898706325	0.10468594217348	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004938-RA	0	1.87485932282473	0.101694915254237	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004941-RA	0	0.79867964876655	0.0997008973080758	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004942-RA	0	1.20160121299302	0.10468594217348	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004944-RA	0	1.52245713136643	0.098703888334995	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004945-RA	0	0.871126963821227	0.114656031904287	0.117655298567109	OeCa A	Oe	Ca	1	1
Anogam_AGAP004946-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004948-RA	0	0.711880849032493	0.103190428713858	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004951-RA	NA	0.435370773868376	NA	NA	OeCa A	Oe	Ca	NA	NA
Anogam_AGAP004953-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004954-RA	0	0.999493913060132	0.107676969092722	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004956-RA	0	1.67570544076356	0.100697906281157	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004958-RA	0	0.928518727089139	0.10568295114656	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004960-RA	0	1.43066617272964	0.0927218344965104	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004962-RA	0	1.412719394329	0.109172482552343	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004964-RA	0	1.9771704294552	0.0922233300099701	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004968-RA	0	2.24116576912843	0.103190428713858	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004972-RA	0	0.39165114510939	0.106181455633101	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004975-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
